Protein1,Protein2,InteractionProbability
ATPA_HUMAN,ATP5J_HUMAN,0.88
H4_HUMAN,MCM5_HUMAN,0.93
KPCI_HUMAN,G3P_HUMAN,0.88
STRAP_HUMAN,STRAP_HUMAN,0.87
FEZ1_HUMAN,NBR1_HUMAN,0.86
RAD52_HUMAN,RFA2_HUMAN,0.97
PTEN_HUMAN,UBP7_HUMAN,0.89
MED10_HUMAN,MD13L_HUMAN,0.87
USO1_HUMAN,STX5_HUMAN,0.9
CSN5_HUMAN,KLH15_HUMAN,0.86
CBP_HUMAN,H4_HUMAN,0.9
TLR2_HUMAN,TLR2_HUMAN,0.87
BID_HUMAN,MCL1_HUMAN,0.9
ANX11_HUMAN,ALG2_HUMAN,0.9
TADBP_HUMAN,TADBP_HUMAN,0.99
CDC16_HUMAN,BUB1B_HUMAN,0.89
UBP22_HUMAN,SGF29_HUMAN,0.87
LRC23_HUMAN,CD28_HUMAN,0.86
ELOC_HUMAN,ASB9_HUMAN,0.89
H4_HUMAN,CENPA_HUMAN,0.9
EXOS5_HUMAN,EXOS3_HUMAN,0.96
LYN_HUMAN,HCLS1_HUMAN,0.95
CAF1A_HUMAN,MBD1_HUMAN,0.9
MED10_HUMAN,MED31_HUMAN,0.9
BRD4_HUMAN,H4_HUMAN,0.97
BIN1_HUMAN,AMPH_HUMAN,0.9
BUB1B_HUMAN,BRCA2_HUMAN,0.88
CAF1A_HUMAN,PCNA_HUMAN,0.9
MDM2_HUMAN,UBP7_HUMAN,0.9
NFKB2_HUMAN,BCL3_HUMAN,0.96
TYY1_HUMAN,RUVB2_HUMAN,0.88
SFPQ_HUMAN,SIN3A_HUMAN,0.87
TAF10_HUMAN,TAF4_HUMAN,0.89
EED_HUMAN,PP1R8_HUMAN,0.89
SMAD2_HUMAN,SKI_HUMAN,0.9
VPS72_HUMAN,RUVB2_HUMAN,0.87
ATX7_HUMAN,TAF10_HUMAN,0.89
GP1BA_HUMAN,GPIX_HUMAN,0.89
JOS2_HUMAN,SAHH3_HUMAN,0.87
UBP15_HUMAN,LSM2_HUMAN,0.86
PSD10_HUMAN,PSMD1_HUMAN,0.95
EXOS8_HUMAN,RRP44_HUMAN,0.88
CDK19_HUMAN,MED27_HUMAN,0.86
SUFU_HUMAN,SAP18_HUMAN,0.92
UBP7_HUMAN,GUAA_HUMAN,0.9
WEE1_HUMAN,FBW1A_HUMAN,0.86
KC1E_HUMAN,APC_HUMAN,0.89
ARRB1_HUMAN,IKBA_HUMAN,0.88
S10AB_HUMAN,S10AB_HUMAN,0.9
TCAM2_HUMAN,TRAF6_HUMAN,0.86
EI2BA_HUMAN,IF2A_HUMAN,0.92
MDM2_HUMAN,CUL1_HUMAN,0.86
LIFR_HUMAN,CNTF_HUMAN,0.96
EXOS6_HUMAN,EXOS1_HUMAN,0.88
TSC1_HUMAN,TSC1_HUMAN,0.88
SPF30_HUMAN,EWS_HUMAN,0.86
BTF3_HUMAN,CSK2B_HUMAN,0.94
PA2G4_HUMAN,ERBB3_HUMAN,0.9
LYAR_HUMAN,RL31_HUMAN,0.86
LEG1_HUMAN,CD166_HUMAN,0.87
SLIT2_HUMAN,ROBO1_HUMAN,0.88
RPB3_HUMAN,ATF4_HUMAN,0.89
ATM_HUMAN,TP53B_HUMAN,0.89
NCOR1_HUMAN,GCR_HUMAN,0.9
NR1H2_HUMAN,RXRB_HUMAN,0.88
PEX10_HUMAN,PEX5_HUMAN,0.89
BACH1_HUMAN,MAFF_HUMAN,0.88
NFKB1_HUMAN,NFKB2_HUMAN,0.97
PALB2_HUMAN,RAD51_HUMAN,0.87
CRIPT_HUMAN,DLG1_HUMAN,0.89
RPC8_HUMAN,RPC5_HUMAN,0.87
MED30_HUMAN,MED4_HUMAN,0.87
RARA_HUMAN,NRIP1_HUMAN,0.96
MPP10_HUMAN,IMP4_HUMAN,0.94
RPAB3_HUMAN,RPB3_HUMAN,0.99
ID2_HUMAN,TFE2_HUMAN,0.96
CSK21_HUMAN,PTEN_HUMAN,0.9
SF3A2_HUMAN,SF3A1_HUMAN,0.99
FOXP2_HUMAN,FOXP2_HUMAN,0.97
ARHG7_HUMAN,LRRK2_HUMAN,0.89
H4_HUMAN,CENPA_HUMAN,0.9
DDIT3_HUMAN,CEBPG_HUMAN,0.87
KLF3_HUMAN,CTBP2_HUMAN,0.89
NCOR2_HUMAN,PRGR_HUMAN,0.9
FOXH1_HUMAN,FOXG1_HUMAN,0.87
MED29_HUMAN,MED16_HUMAN,0.87
AMOT_HUMAN,AMOL1_HUMAN,0.87
TPTE_HUMAN,ADCY9_HUMAN,0.49
WNK1_HUMAN,LCP2_HUMAN,0.49
COX14_HUMAN,YMEL1_HUMAN,0.49
BET1_HUMAN,NIP7_HUMAN,0.49
NICA_HUMAN,TR112_HUMAN,0.49
DHX29_HUMAN,SNAA_HUMAN,0.49
CUL4B_HUMAN,TMPS7_HUMAN,0.49
MCM5_HUMAN,CHIP_HUMAN,0.49
XPO2_HUMAN,CYB5B_HUMAN,0.49
ADCY2_HUMAN,ARBK1_HUMAN,0.0
IL9R_HUMAN,SOCS7_HUMAN,0.0
P85B_HUMAN,PLCG1_HUMAN,0.0
H2B1C_HUMAN,REQU_HUMAN,0.49
SLMAP_HUMAN,4EBP1_HUMAN,0.49
OR5F1_HUMAN,SCRIB_HUMAN,0.49
EGF_HUMAN,ITB4_HUMAN,0.0
RD23B_HUMAN,ZYX_HUMAN,0.49
TAF9_HUMAN,NCOA2_HUMAN,0.49
CEP63_HUMAN,CEP55_HUMAN,0.49
ILF3_HUMAN,PYRD1_HUMAN,0.49
TTC1_HUMAN,PDIA6_HUMAN,0.49
MGST3_HUMAN,RT05_HUMAN,0.49
SFXN1_HUMAN,GLO2_HUMAN,0.49
CSK21_HUMAN,PAF1_HUMAN,0.49
RL34_HUMAN,RS8_HUMAN,0.49
MYB_HUMAN,H4_HUMAN,0.49
TECT2_HUMAN,SEC20_HUMAN,0.49
SYWC_HUMAN,TCPG_HUMAN,0.49
ZDH17_HUMAN,STK3_HUMAN,0.49
TMM17_HUMAN,PTK7_HUMAN,0.49
CP135_HUMAN,TM209_HUMAN,0.49
TP53B_HUMAN,MED31_HUMAN,0.49
TECT1_HUMAN,MESD_HUMAN,0.49
MED23_HUMAN,NCOA2_HUMAN,0.49
TRM6_HUMAN,TRUA_HUMAN,0.49
PAR10_HUMAN,CASP8_HUMAN,0.19
RSSA_HUMAN,TCPZ_HUMAN,0.49
IKKB_HUMAN,RIPK2_HUMAN,0.0
ATX2L_HUMAN,PABP4_HUMAN,0.49
VATA_HUMAN,VINC_HUMAN,0.49
TNNC1_HUMAN,CNN1_HUMAN,0.49
MMP9_HUMAN,TENA_HUMAN,0.0
H2B1C_HUMAN,XPC_HUMAN,0.49
B9D2_HUMAN,SRS10_HUMAN,0.49
CCL17_HUMAN,X3CL1_HUMAN,0.0
NOP2_HUMAN,RL23_HUMAN,0.49
LMNA_HUMAN,CWC27_HUMAN,0.49
AKIP_HUMAN,RM39_HUMAN,0.49
TP53B_HUMAN,SRRT_HUMAN,0.49
EVPL_HUMAN,K1C14_HUMAN,0.49
ROA3_HUMAN,RS28_HUMAN,0.49
TOM22_HUMAN,NU205_HUMAN,0.49
TRM6_HUMAN,STK24_HUMAN,0.49
TP53B_HUMAN,EP400_HUMAN,0.49
PTH2_HUMAN,RS15_HUMAN,0.49
NDUV1_HUMAN,STXB1_HUMAN,0.49
H2B1C_HUMAN,SUZ12_HUMAN,0.49
NOC3L_HUMAN,RRP12_HUMAN,0.49
ILF3_HUMAN,RU17_HUMAN,0.49
H2B1C_HUMAN,ZNF8_HUMAN,0.49
TM216_HUMAN,JAGN1_HUMAN,0.49
H2B1C_HUMAN,PLIN3_HUMAN,0.49
RFX5_HUMAN,RM53_HUMAN,0.49
RET_HUMAN,SH3G1_HUMAN,0.0
BRCA1_HUMAN,NSE4A_HUMAN,0.49
RM03_HUMAN,RM15_HUMAN,0.49
PRP6_HUMAN,U2AF1_HUMAN,0.49
GATCL_HUMAN,PNPT1_HUMAN,0.49
PSB1_HUMAN,RL24_HUMAN,0.49
UB2V1_HUMAN,VATF_HUMAN,0.49
NUP85_HUMAN,NUDC_HUMAN,0.49
DDX18_HUMAN,BCCIP_HUMAN,0.49
PIPSL_HUMAN,SPS1_HUMAN,0.49
CP135_HUMAN,SRP72_HUMAN,0.49
SSBP_HUMAN,TIAR_HUMAN,0.49
SCO1_HUMAN,SNP29_HUMAN,0.49
SRSF7_HUMAN,EIF3D_HUMAN,0.49
YKT6_HUMAN,UB2V1_HUMAN,0.49
TP53B_HUMAN,PRR12_HUMAN,0.49
OFD1_HUMAN,NUDC3_HUMAN,0.49
ILF2_HUMAN,LTOR3_HUMAN,0.49
LAGE3_HUMAN,TM1L2_HUMAN,0.49
NINL_HUMAN,MS18A_HUMAN,0.49
ODFP2_HUMAN,EXOC4_HUMAN,0.49
AKIP_HUMAN,LLPH_HUMAN,0.49
TECT2_HUMAN,SSRG_HUMAN,0.49
DDRGK_HUMAN,SYYM_HUMAN,0.49
SRS11_HUMAN,HEXI1_HUMAN,0.49
HNRPR_HUMAN,TOP2B_HUMAN,0.49
ITB4_HUMAN,LAMA3_HUMAN,0.0
MCES_HUMAN,KIF23_HUMAN,0.49
AKIP_HUMAN,PDIP2_HUMAN,0.49
SRXN1_HUMAN,TM1L2_HUMAN,0.49
RM51_HUMAN,TM177_HUMAN,0.49
GRP75_HUMAN,DNJC3_HUMAN,0.49
KYNU_HUMAN,COIL_HUMAN,0.49
KLH36_HUMAN,NUDC3_HUMAN,0.49
H2B1C_HUMAN,FOXM1_HUMAN,0.49
SFPQ_HUMAN,SNUT1_HUMAN,0.49
ERN1_HUMAN,S61A1_HUMAN,0.49
SCO1_HUMAN,RT36_HUMAN,0.49
CLPP_HUMAN,NDUA4_HUMAN,0.49
BRCA1_HUMAN,TOP3A_HUMAN,0.49
RLA0_HUMAN,GNL1_HUMAN,0.49
JAK2_HUMAN,LIFR_HUMAN,0.0
RL24_HUMAN,RL38_HUMAN,0.49
CPSF3_HUMAN,RPA49_HUMAN,0.49
HNRPR_HUMAN,SNUT1_HUMAN,0.49
KYNU_HUMAN,P4R3B_HUMAN,0.49
RL21_HUMAN,RL26L_HUMAN,0.49
PRC2C_HUMAN,MDM2_HUMAN,0.49
NDUS8_HUMAN,PYRD_HUMAN,0.49
LBN_HUMAN,VANG1_HUMAN,0.49
UBP37_HUMAN,SNR40_HUMAN,0.49
WDFY1_HUMAN,FAH2A_HUMAN,0.49
RL10A_HUMAN,RS28_HUMAN,0.49
PLCG1_HUMAN,SKIV2_HUMAN,0.49
LMAN1_HUMAN,TMED2_HUMAN,0.49
MGST3_HUMAN,RM21_HUMAN,0.49
TS101_HUMAN,UBC9_HUMAN,0.49
TRM6_HUMAN,VPS35_HUMAN,0.49
FOS_HUMAN,SF3A3_HUMAN,0.49
CH60_HUMAN,ATPO_HUMAN,0.49
SAE2_HUMAN,TACC3_HUMAN,0.49
VGFR3_HUMAN,PK3CG_HUMAN,0.0
CRNL1_HUMAN,AQR_HUMAN,0.49
S10AG_HUMAN,XRCC1_HUMAN,0.49
RRP5_HUMAN,SPT6H_HUMAN,0.49
RCN1_HUMAN,CY1_HUMAN,0.49
NINL_HUMAN,CYLD_HUMAN,0.49
PSIP1_HUMAN,RL6_HUMAN,0.49
TPTE_HUMAN,CLCC1_HUMAN,0.49
RTCB_HUMAN,CCD22_HUMAN,0.49
TPIS_HUMAN,HNRPR_HUMAN,0.49
HNRPR_HUMAN,PRP8_HUMAN,0.49
UBR5_HUMAN,QCR2_HUMAN,0.49
RRS1_HUMAN,NMD3_HUMAN,0.49
RM32_HUMAN,RM45_HUMAN,0.49
RL8_HUMAN,RL3L_HUMAN,0.49
THIL_HUMAN,DUS3L_HUMAN,0.49
SF3B3_HUMAN,TCPB_HUMAN,0.49
CE152_HUMAN,ATX10_HUMAN,0.49
TCTP_HUMAN,PEPL1_HUMAN,0.49
NH2L1_HUMAN,RRP7A_HUMAN,0.49
ADX_HUMAN,ATPA_HUMAN,0.49
GOGA2_HUMAN,SMC1A_HUMAN,0.49
QCR7_HUMAN,RL9_HUMAN,0.49
TRI14_HUMAN,NUP93_HUMAN,0.49
WDR82_HUMAN,GLOD4_HUMAN,0.49
SCLT1_HUMAN,TNR6C_HUMAN,0.49
AIFM1_HUMAN,F136A_HUMAN,0.49
RS6_HUMAN,PARN_HUMAN,0.49
SYG_HUMAN,SYRC_HUMAN,0.49
KPCI_HUMAN,KIF23_HUMAN,0.49
CDS2_HUMAN,DGKH_HUMAN,0.0
PKN2_HUMAN,GCP60_HUMAN,0.49
SAS6_HUMAN,ZO1_HUMAN,0.49
AKIP_HUMAN,RRBP1_HUMAN,0.49
AIFM1_HUMAN,SCMC2_HUMAN,0.49
AATM_HUMAN,FAAA_HUMAN,0.49
NDUS8_HUMAN,PSN1_HUMAN,0.49
AKIP_HUMAN,ETFA_HUMAN,0.49
PTPR2_HUMAN,ANKL2_HUMAN,0.49
ABCD1_HUMAN,ADAS_HUMAN,0.49
GAR1_HUMAN,PUS7_HUMAN,0.49
H2B1C_HUMAN,BRD1_HUMAN,0.49
RPN1_HUMAN,RSSA_HUMAN,0.49
MGST3_HUMAN,LARP4_HUMAN,0.49
AASD1_HUMAN,SBDS_HUMAN,0.49
TMM17_HUMAN,GOPC_HUMAN,0.49
LATS1_HUMAN,CING_HUMAN,0.49
TGON2_HUMAN,STT3B_HUMAN,0.49
MSS4_HUMAN,AHSA1_HUMAN,0.49
TP53B_HUMAN,CD2B2_HUMAN,0.49
SF3A1_HUMAN,SNUT2_HUMAN,0.49
TMM17_HUMAN,S4A7_HUMAN,0.49
HINT1_HUMAN,PARK7_HUMAN,0.49
CE170_HUMAN,TCHP_HUMAN,0.49
LACB2_HUMAN,PDC6I_HUMAN,0.49
PLRKT_HUMAN,KAD2_HUMAN,0.49
DDX21_HUMAN,IL7RA_HUMAN,0.49
DDX27_HUMAN,RBBP6_HUMAN,0.49
RM32_HUMAN,TI17B_HUMAN,0.49
CSK2B_HUMAN,PI42C_HUMAN,0.49
EWS_HUMAN,MEG11_HUMAN,0.49
TECT3_HUMAN,TAP1_HUMAN,0.49
SFRP4_HUMAN,KCRU_HUMAN,0.49
U2AF1_HUMAN,VPRBP_HUMAN,0.49
HSPB1_HUMAN,UAP1_HUMAN,0.49
SPICE_HUMAN,CE350_HUMAN,0.49
TOM22_HUMAN,RRBP1_HUMAN,0.49
CNOT3_HUMAN,HNRLL_HUMAN,0.49
FBF1_HUMAN,VINC_HUMAN,0.49
ORN_HUMAN,TXD17_HUMAN,0.49
RS6_HUMAN,RPOM_HUMAN,0.49
CUL4B_HUMAN,DDX17_HUMAN,0.49
NIT2_HUMAN,TIM9_HUMAN,0.49
RL9_HUMAN,RRP7A_HUMAN,0.49
LASP1_HUMAN,MAP4_HUMAN,0.49
PA2GD_HUMAN,KPCD_HUMAN,0.0
ICLN_HUMAN,LPP_HUMAN,0.49
PPT2_HUMAN,SPT5H_HUMAN,0.49
BET1_HUMAN,STX16_HUMAN,0.49
BET1_HUMAN,TFAM_HUMAN,0.49
RL21_HUMAN,RL27_HUMAN,0.49
AIFM1_HUMAN,NDUBB_HUMAN,0.49
CDK7_HUMAN,COIL_HUMAN,0.49
RSU1_HUMAN,ROA3_HUMAN,0.49
PAF1_HUMAN,CHD2_HUMAN,0.49
NUDT9_HUMAN,NIT1_HUMAN,0.49
TBCB_HUMAN,LGSN_HUMAN,0.49
RENT1_HUMAN,TMX1_HUMAN,0.49
CE104_HUMAN,MARE2_HUMAN,0.49
CE152_HUMAN,BIG3_HUMAN,0.49
RM09_HUMAN,RM55_HUMAN,0.49
USO1_HUMAN,DPOE3_HUMAN,0.49
GRPE1_HUMAN,HS105_HUMAN,0.49
RBP17_HUMAN,TPPC5_HUMAN,0.49
MYB_HUMAN,H4_HUMAN,0.49
THIL_HUMAN,DDB1_HUMAN,0.49
TECT2_HUMAN,PLOD3_HUMAN,0.49
RN135_HUMAN,UBA1_HUMAN,0.49
PHB2_HUMAN,SSRA_HUMAN,0.49
CH60_HUMAN,ACAD9_HUMAN,0.49
MLH1_HUMAN,API5_HUMAN,0.49
LSM4_HUMAN,DX39B_HUMAN,0.49
NNRD_HUMAN,SIAS_HUMAN,0.49
MDC1_HUMAN,RPRD2_HUMAN,0.49
TXND9_HUMAN,VPS53_HUMAN,0.49
TOM22_HUMAN,CKAP4_HUMAN,0.49
SPICE_HUMAN,TPGS1_HUMAN,0.49
PRS6A_HUMAN,PSA4_HUMAN,0.49
CORO7_HUMAN,DAG1_HUMAN,0.49
SF01_HUMAN,IL7RA_HUMAN,0.49
LMAN1_HUMAN,ATPA_HUMAN,0.49
TKTL2_HUMAN,TALDO_HUMAN,0.49
CE128_HUMAN,TTF2_HUMAN,0.49
THTM_HUMAN,YKT6_HUMAN,0.49
COX14_HUMAN,DJC11_HUMAN,0.49
NDUS4_HUMAN,ODP2_HUMAN,0.49
HNRPR_HUMAN,RS23_HUMAN,0.49
HNRPM_HUMAN,RL10A_HUMAN,0.49
TGON2_HUMAN,TPC11_HUMAN,0.49
ILF3_HUMAN,RM55_HUMAN,0.49
TIAR_HUMAN,CB079_HUMAN,0.49
CYB5B_HUMAN,UCRI_HUMAN,0.49
RBBP5_HUMAN,ARCH_HUMAN,0.49
CDD_HUMAN,TRI25_HUMAN,0.49
MGST3_HUMAN,PDIA4_HUMAN,0.49
KRR1_HUMAN,DDX56_HUMAN,0.49
JAM2_HUMAN,MAGI1_HUMAN,0.0
NLTP_HUMAN,RRBP1_HUMAN,0.49
FLOT2_HUMAN,SSRA_HUMAN,0.49
PMVK_HUMAN,WDR92_HUMAN,0.49
LMNA_HUMAN,CS029_HUMAN,0.49
IF2P_HUMAN,TSSC4_HUMAN,0.49
RS21_HUMAN,RS24_HUMAN,0.49
EWS_HUMAN,SH3G1_HUMAN,0.49
EFTU_HUMAN,RS26_HUMAN,0.49
CLPP_HUMAN,COX5B_HUMAN,0.49
ADCY2_HUMAN,ADCY6_HUMAN,0.0
PLRKT_HUMAN,COX17_HUMAN,0.49
WD51A_HUMAN,PFD5_HUMAN,0.49
IL1R1_HUMAN,M3K7_HUMAN,0.0
CHM4B_HUMAN,MVP_HUMAN,0.49
RN169_HUMAN,PRP6_HUMAN,0.07
SYSC_HUMAN,SYWC_HUMAN,0.49
B9D2_HUMAN,CPSF7_HUMAN,0.49
ANR28_HUMAN,APC_HUMAN,0.49
ITA2B_HUMAN,LAMB1_HUMAN,0.0
RLA2_HUMAN,RS19_HUMAN,0.49
CANB2_HUMAN,SMAD4_HUMAN,0.49
NENF_HUMAN,RL14_HUMAN,0.49
IGBP1_HUMAN,PDIA6_HUMAN,0.49
CE128_HUMAN,PIBF1_HUMAN,0.49
GPD1L_HUMAN,ALDOC_HUMAN,0.49
PFD2_HUMAN,PIMT_HUMAN,0.49
CPIN1_HUMAN,HSPB8_HUMAN,0.49
TECT3_HUMAN,RENR_HUMAN,0.49
PLRKT_HUMAN,GCP60_HUMAN,0.49
ODFP2_HUMAN,GEN_HUMAN,0.49
DPOD3_HUMAN,DPOLA_HUMAN,0.49
H2B1C_HUMAN,GNL3L_HUMAN,0.49
TMM17_HUMAN,COPE_HUMAN,0.49
SFXN1_HUMAN,NDUAD_HUMAN,0.49
PGFRB_HUMAN,KPCD_HUMAN,0.0
THTM_HUMAN,UPP1_HUMAN,0.49
ETFA_HUMAN,PO210_HUMAN,0.49
ALDOC_HUMAN,FAHD1_HUMAN,0.49
CENPJ_HUMAN,OFD1_HUMAN,0.49
NH2L1_HUMAN,RS24_HUMAN,0.49
THOC5_HUMAN,XPO4_HUMAN,0.49
PSB1_HUMAN,ADRM1_HUMAN,0.49
TM216_HUMAN,PLD3_HUMAN,0.49
TECT1_HUMAN,BRI3B_HUMAN,0.49
ST1A1_HUMAN,ZPR1_HUMAN,0.49
UBP37_HUMAN,HDAC2_HUMAN,0.49
LBN_HUMAN,GCP60_HUMAN,0.49
TGON2_HUMAN,PTN23_HUMAN,0.49
SAV1_HUMAN,NYNRI_HUMAN,0.49
TECT3_HUMAN,CGT_HUMAN,0.49
TECT2_HUMAN,REEP2_HUMAN,0.49
TECT3_HUMAN,CERS2_HUMAN,0.49
TRI14_HUMAN,RL23A_HUMAN,0.49
CDK19_HUMAN,RBM40_HUMAN,0.49
H2B1C_HUMAN,SDCB1_HUMAN,0.49
GNL3_HUMAN,MK67I_HUMAN,0.49
DHB12_HUMAN,QCR2_HUMAN,0.49
SFR15_HUMAN,TXD17_HUMAN,0.49
CE120_HUMAN,UN45A_HUMAN,0.49
LIMK2_HUMAN,CDC37_HUMAN,0.49
CNTRL_HUMAN,LMO7_HUMAN,0.49
NOLC1_HUMAN,RS6_HUMAN,0.49
P4K2B_HUMAN,PK3C3_HUMAN,0.0
H2B1C_HUMAN,SLBP_HUMAN,0.49
NINL_HUMAN,HAUS2_HUMAN,0.49
QCR2_HUMAN,ATPA_HUMAN,0.49
RAN_HUMAN,RNBP6_HUMAN,0.49
OFD1_HUMAN,DYN2_HUMAN,0.49
SERA_HUMAN,U2AF2_HUMAN,0.49
CE290_HUMAN,NEK1_HUMAN,0.49
TRMB_HUMAN,TRM61_HUMAN,0.49
DHSO_HUMAN,FAD1_HUMAN,0.49
HNRDL_HUMAN,PICAL_HUMAN,0.49
NUDC3_HUMAN,BBS1_HUMAN,0.49
CBLB_HUMAN,INAR1_HUMAN,0.0
RL22_HUMAN,RS27_HUMAN,0.49
DPOE4_HUMAN,M3K7_HUMAN,0.49
HTRA2_HUMAN,AL1A2_HUMAN,0.49
SNX8_HUMAN,MSH3_HUMAN,0.49
KS6A6_HUMAN,SL9A1_HUMAN,0.49
ATD3B_HUMAN,SRP68_HUMAN,0.49
ATPG_HUMAN,NDUS1_HUMAN,0.49
BCAR1_HUMAN,ITA7_HUMAN,0.0
AKAP8_HUMAN,SCHI1_HUMAN,0.49
GBG1_HUMAN,KAP3_HUMAN,0.0
CY1_HUMAN,RM37_HUMAN,0.49
CE104_HUMAN,AP4E1_HUMAN,0.49
RS6_HUMAN,VASN_HUMAN,0.49
CT043_HUMAN,SYLC_HUMAN,0.49
DDX23_HUMAN,PURA_HUMAN,0.49
VATF_HUMAN,AIMP1_HUMAN,0.49
PIR_HUMAN,PDC6I_HUMAN,0.49
NINL_HUMAN,TDRD3_HUMAN,0.49
CE128_HUMAN,SPA2L_HUMAN,0.49
MYL9_HUMAN,EIF3I_HUMAN,0.49
SFXN1_HUMAN,CA031_HUMAN,0.49
INP5E_HUMAN,PK3CB_HUMAN,0.0
UBC12_HUMAN,K0907_HUMAN,0.49
EFTU_HUMAN,RL15_HUMAN,0.49
RL29_HUMAN,IL7RA_HUMAN,0.49
TM216_HUMAN,TMX4_HUMAN,0.49
AKIP_HUMAN,RNZ2_HUMAN,0.49
PGM5_HUMAN,G6PI_HUMAN,0.49
FOLR1_HUMAN,PSB2_HUMAN,0.49
TCPA_HUMAN,QCR2_HUMAN,0.49
ODO2_HUMAN,RM40_HUMAN,0.49
NH2L1_HUMAN,PCDA2_HUMAN,0.49
POC5_HUMAN,IDH3B_HUMAN,0.49
TFCP2_HUMAN,RS24_HUMAN,0.49
ODFP2_HUMAN,TNR6C_HUMAN,0.49
LTOR3_HUMAN,TOM70_HUMAN,0.49
ZNF24_HUMAN,PSMD1_HUMAN,0.49
TP53B_HUMAN,TRM1L_HUMAN,0.49
PLRKT_HUMAN,HEM6_HUMAN,0.49
MED1_HUMAN,ZN281_HUMAN,0.49
MBB1A_HUMAN,PTRF_HUMAN,0.49
RFA1_HUMAN,LTN1_HUMAN,0.49
RS20_HUMAN,RL38_HUMAN,0.49
MELT_HUMAN,SCRIB_HUMAN,0.49
DRD1_HUMAN,PI2R_HUMAN,0.0
PSMD3_HUMAN,MCFD2_HUMAN,0.49
THIL_HUMAN,ABCB7_HUMAN,0.49
NFIA_HUMAN,TPBG_HUMAN,0.49
CNTRL_HUMAN,GCP3_HUMAN,0.49
FTM_HUMAN,GL1AD_HUMAN,0.49
TECT2_HUMAN,TLCD2_HUMAN,0.49
TR61B_HUMAN,RT27_HUMAN,0.49
H2B1C_HUMAN,ZKSC4_HUMAN,0.49
OFD1_HUMAN,STXB4_HUMAN,0.49
EWS_HUMAN,CI078_HUMAN,0.49
MDC1_HUMAN,MCES_HUMAN,0.49
SFPQ_HUMAN,SYCC_HUMAN,0.49
RS14_HUMAN,NDUS4_HUMAN,0.49
TECT2_HUMAN,T161A_HUMAN,0.49
PPM1G_HUMAN,STMN1_HUMAN,0.49
MPCP_HUMAN,IPO7_HUMAN,0.49
MET_HUMAN,NEDD4_HUMAN,0.0
CLD11_HUMAN,ZO1_HUMAN,0.0
TGON2_HUMAN,KCNB2_HUMAN,0.49
RL13A_HUMAN,RS14_HUMAN,0.49
CCR10_HUMAN,X3CL1_HUMAN,0.0
ILF3_HUMAN,RS24_HUMAN,0.49
FANCC_HUMAN,MLH3_HUMAN,0.49
NIN_HUMAN,CE350_HUMAN,0.49
MLF1_HUMAN,IRS4_HUMAN,0.49
CSN2_HUMAN,SPS1_HUMAN,0.49
CE128_HUMAN,CCD18_HUMAN,0.49
VGFR1_HUMAN,SHLB2_HUMAN,0.0
PCKGM_HUMAN,UB2L3_HUMAN,0.49
THOC6_HUMAN,U2AF1_HUMAN,0.49
CEP89_HUMAN,TTK_HUMAN,0.49
EF1D_HUMAN,DGCR8_HUMAN,0.49
PRPF3_HUMAN,RU2A_HUMAN,0.49
TGON2_HUMAN,HM13_HUMAN,0.49
VAPA_HUMAN,QCR2_HUMAN,0.49
GBF1_HUMAN,RBM26_HUMAN,0.49
DCTN1_HUMAN,RN168_HUMAN,0.49
PDK1_HUMAN,AT5F1_HUMAN,0.49
MMP9_HUMAN,NCF4_HUMAN,0.0
UFC1_HUMAN,VINC_HUMAN,0.49
RM41_HUMAN,RT09_HUMAN,0.49
RL29_HUMAN,RSSA_HUMAN,0.49
CEP19_HUMAN,C2D1A_HUMAN,0.49
LGUL_HUMAN,PGP_HUMAN,0.49
CTDSL_HUMAN,MICA3_HUMAN,0.49
SCLT1_HUMAN,BL1S1_HUMAN,0.49
TM237_HUMAN,EMC8_HUMAN,0.49
SGCD_HUMAN,SGCD_HUMAN,0.49
TP53B_HUMAN,TAF5L_HUMAN,0.49
KDM1A_HUMAN,NADAP_HUMAN,0.49
SRXN1_HUMAN,ST1A1_HUMAN,0.49
CD4_HUMAN,PDCD1_HUMAN,0.0
MRE11_HUMAN,CHAP1_HUMAN,0.49
SFR15_HUMAN,UPAR_HUMAN,0.49
GTD2A_HUMAN,PSMD2_HUMAN,0.49
SBP1_HUMAN,DUT_HUMAN,0.49
GOGA2_HUMAN,TPGS1_HUMAN,0.49
CYB5B_HUMAN,SC31A_HUMAN,0.49
HNF1A_HUMAN,ASM3A_HUMAN,0.49
H2B1C_HUMAN,PHF2_HUMAN,0.49
H2B1C_HUMAN,IPO9_HUMAN,0.49
LSM4_HUMAN,WDR44_HUMAN,0.49
UCHL3_HUMAN,STIP1_HUMAN,0.49
FBRL_HUMAN,GSCR2_HUMAN,0.49
ST1A1_HUMAN,UBP34_HUMAN,0.49
SMCA4_HUMAN,H4_HUMAN,0.49
RLA2_HUMAN,RL31_HUMAN,0.49
SRXN1_HUMAN,THADA_HUMAN,0.49
SF3A3_HUMAN,SRSF9_HUMAN,0.49
RS6_HUMAN,RCL1_HUMAN,0.49
HMCS1_HUMAN,SPDLY_HUMAN,0.49
CNTRL_HUMAN,SDCG3_HUMAN,0.49
JMJD6_HUMAN,SSRP1_HUMAN,0.49
SCO1_HUMAN,TITIN_HUMAN,0.49
DESM_HUMAN,HNRL1_HUMAN,0.49
